ID,Título,Precio,Moneda,Estado,Stock,Vendidos,Link
"MLU682941090","Flores Secas En Organizador M","1250","UYU","active","1","3","https://articulo.mercadolibre.com.uy/MLU-682941090-flores-secas-en-organizador-m-_JM"
"MLU683388560","Ramitos De Flores Secas","480","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-683388560-ramitos-de-flores-secas-_JM"
"MLU684181892","Frasquitos Con Flores Secas 5 Unidades","580","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-684181892-frasquitos-con-flores-secas-5-unidades-_JM"
"MLU690745956","Flores Secas Eucaliptus","400","UYU","paused","0","9","https://articulo.mercadolibre.com.uy/MLU-690745956-flores-secas-eucaliptus-_JM"
"MLU691682118","Flores Secas Siempre Vivas","450","UYU","paused","2","0","https://articulo.mercadolibre.com.uy/MLU-691682118-flores-secas-siempre-vivas-_JM"
"MLU691615076","Flores Secas Siemprevivas Pequeñas 300 Unidades","420","UYU","paused","0","2","https://articulo.mercadolibre.com.uy/MLU-691615076-flores-secas-siemprevivas-pequenas-300-unidades-_JM"
"MLU693755386","Flores Secas Pensamientos 50 Unidades","650","UYU","active","1","1","https://articulo.mercadolibre.com.uy/MLU-693755386-flores-secas-pensamientos-50-unidades-_JM"
"MLU693729106","Flores Secas Pensamientos 80 Unidades","920","UYU","paused","2","0","https://articulo.mercadolibre.com.uy/MLU-693729106-flores-secas-pensamientos-80-unidades-_JM"
"MLU706234460","Ramo De Flores Secas","1600","UYU","paused","1","2","https://articulo.mercadolibre.com.uy/MLU-706234460-ramo-de-flores-secas-_JM"
"MLU708594836","Flores Secas Prensadas Muy Pequeñas","550","UYU","paused","1","0","https://articulo.mercadolibre.com.uy/MLU-708594836-flores-secas-prensadas-muy-pequenas-_JM"
"MLU709957654","Zapallitos Decorativos X 15","400","UYU","paused","4","0","https://articulo.mercadolibre.com.uy/MLU-709957654-zapallitos-decorativos-x-15-_JM"
"MLU710490728","Lágrimas De Job 50 Semillas","280","UYU","active","2","0","https://articulo.mercadolibre.com.uy/MLU-710490728-lagrimas-de-job-50-semillas-_JM"
"MLU710442352","Ramo Flores Secas Naturales X 2","720","UYU","active","2","0","https://articulo.mercadolibre.com.uy/MLU-710442352-ramo-flores-secas-naturales-x-2-_JM"
"MLU710309144","Lagrimas De Job 100 Semillas","490","UYU","active","2","0","https://articulo.mercadolibre.com.uy/MLU-710309144-lagrimas-de-job-100-semillas-_JM"
"MLU711081578","Ramitos De Flores Secas Statices X 15","700","UYU","paused","0","5","https://articulo.mercadolibre.com.uy/MLU-711081578-ramitos-de-flores-secas-statices-x-15-_JM"
"MLU715199886","Flores Secas Ramitos X 30 Unidades","690","UYU","paused","1","4","https://articulo.mercadolibre.com.uy/MLU-715199886-flores-secas-ramitos-x-30-unidades-_JM"
"MLU717508254","Ramo De Flores Secas","750","UYU","paused","1","1","https://articulo.mercadolibre.com.uy/MLU-717508254-ramo-de-flores-secas-_JM"
"MLU779005846","Espigas De Trigo 60 Unidades Trigo","390","UYU","active","3","0","https://articulo.mercadolibre.com.uy/MLU-779005846-espigas-de-trigo-60-unidades-trigo-_JM"
